Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,Cijk_Ailk_Bljk_SB_MT16x32x64_MI16x16x4x1_SN_1LDSB1_APM1_ABV0_ACED0_AF0EM1_AF1EM4_AMAS0_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FL0_GRPM1_GRVW1_GSU8_GSUAMB_GLS0_ISA90a_IU16_K1_KLA_LBSPP256_LPA0_LPB2_LDL1_LRVW1_LWPMn1_LDW1_FMA_MIAV0_MDA2_MO40_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA2_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TT1_16_TLDS1_USFGROn1_VAW1_VSn1_VW1_WSGRA0_WSGRB0_WS64_WG16_8_1_WGM1.kd,2,0,0,30239,30239,131072,128,12800,0,96,8,96,64,0x0,0x7f42a9933c80,2465792,955233,106969471,3325468283706741,3325469855483639,3325469855621879,3325468293076367
1,Cijk_S_PostGSU.kd,2,0,1,30239,30239,4096,256,0,0,28,4,64,64,0x0,0x7f43b247a8c0,0,0,0,3325468292925485,3325469855621879,3325469855626679,3325468293321555
2,Cijk_Ailk_Bljk_HB_MT64x128x4_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS0_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL0_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FL0_GRPM1_GRVW1_GSU1_GSUASB_GLS0_ISA000_IU1_K1_KLS_LBSPP0_LPA0_LPB0_LDL1_LRVW1_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR0_PLR0_RK0_SIA1_SS0_SU32_SUM0_SUS256_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TT4_8_TLDS0_USFGRO0_VAW2_VS1_VW1_WSGRA0_WSGRB0_WS64_WG16_16_1_WGM8.kd,2,0,3,30239,30239,8192,256,2048,0,60,4,64,64,0x0,0x7f43b2416380,384,177,22654,3325468298106260,3325469860736769,3325469860752450,3325468298219982
