Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float*, float*, int) ",2,0,0,79902,79902,1000000512,1024,0,0,16,0,32,64,0x0,0x7f3d3db19440,62500016,39180276,4389399584,3334385431540075,3334387993762428,3334388001502430,3334385448528304
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,79902,79902,1000000512,1024,0,0,12,4,32,64,0x0,0x7f3d3db19480,78125024,57848460,6479782848,3334385440703586,3334388001502430,3334388008072831,3334385455111360
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,79902,79902,250000384,1024,0,0,12,4,32,64,0x0,0x7f3d3db194c0,15625012,9930346,1111253576,3334385440785409,3334388008072831,3334388013784513,3334385460831684
