Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float*, float*, int) ",2,0,0,80275,80275,1000000512,1024,0,0,16,0,32,64,0x0,0x7f55940bd440,0,0,0,3334386457496161,3334387993762428,3334388001502430,3334386474558539
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,80275,80275,1000000512,1024,0,0,12,4,32,64,0x0,0x7f55940bd480,0,0,0,3334386466740734,3334388001502430,3334388008072831,3334386481158847
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,80275,80275,250000384,1024,0,0,12,4,32,64,0x0,0x7f55940bd4c0,0,0,0,3334386466817507,3334388008072831,3334388013784513,3334386486871136
