Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float*, float*, int) ",2,0,0,80460,80460,1000000512,1024,0,0,16,0,32,64,0x0,0x7ff35dcc1440,12482820,12482820,15625008,187500024,26855887,3006834700,3334386970660838,3334387993762428,3334388001502430,3334386987571101
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,80460,80460,1000000512,1024,0,0,12,4,32,64,0x0,0x7ff35dcc1480,10653567,10653567,15625008,203125032,29076279,3257217192,3334386979717269,3334388001502430,3334388008072831,3334386994194493
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,80460,80460,250000384,1024,0,0,12,4,32,64,0x0,0x7ff35dcc14c0,9371009,9371009,3906256,23437518,3355080,376208784,3334386979800034,3334388008072831,3334388013784513,3334386999897414
