Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
140,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,197,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300681181104,5233300681212876,5233300681393516,5233300681394954
141,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,198,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300681214085,5233300681393516,5233300681446956,5233300681448504
142,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,199,258074,258074,4194304,256,40960,0,116,20,32,64,0x0,0x7f81fbf08680,5233300681284537,5233300681446956,5233300704450940,5233300704516021
143,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,200,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300681297672,5233300704450940,5233300704627740,5233300704629403
144,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,201,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300681308582,5233300704627740,5233300704675900,5233300704677824
145,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,202,258074,258074,4194304,256,40960,0,116,20,32,64,0x0,0x7f81fbf08680,5233300681360570,5233300704675900,5233300727664043,5233300727665512
146,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,203,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300681371791,5233300727664043,5233300727841163,5233300727842382
147,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,204,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300681379695,5233300727841163,5233300727890923,5233300727892106
148,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,205,258074,258074,4194304,256,40960,0,116,20,32,64,0x0,0x7f81fbf08680,5233300681427505,5233300727890781,5233300750889803,5233300750895603
149,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,206,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300681440038,5233300750889803,5233300751069161,5233300751070340
150,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,207,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300681448895,5233300751069161,5233300751117961,5233300751119231
