Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
54,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,78,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233299905297851,5233299950939350,5233299950987510,5233299950988565
55,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,79,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233299905346261,5233299950987096,5233299973562751,5233299973569021
56,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,80,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233299905358364,5233299973562751,5233299973738909,5233299973740311
57,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,81,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233299905382099,5233299973738909,5233299973790109,5233299973791467
58,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,82,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233299905434246,5233299973790109,5233299996374243,5233299996375820
59,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,83,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233299905446920,5233299996374243,5233299996552323,5233299996553783
60,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,84,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233299905456868,5233299996552323,5233299996600643,5233299996602013
61,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,85,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233299905505740,5233299996600643,5233300019179177,5233300019180776
62,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,87,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300019227373,5233300019241417,5233300019288297,5233300019289700
63,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,88,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233300019293517,5233300019312746,5233300041894644,5233300041965645
64,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,89,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300019316430,5233300041894644,5233300042070642,5233300042072745
