Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
55,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,79,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37023026,37023026,32768,161611776,23566988295,175613304276,5233288131481996,5233299950987096,5233299973562751,5233288199263630
56,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,80,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,317519,317519,250000,2000000,192707258,1446007062,5233288131574599,5233299973562751,5233299973738909,5233288199471779
57,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,81,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,103776,103776,65536,524288,56473061,423383286,5233288131663405,5233299973738909,5233299973790109,5233288199552240
58,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,82,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37059164,37059164,32768,161611776,23590605925,175790119233,5233288131818375,5233299973790109,5233299996374243,5233288222176157
59,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,83,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,315467,315467,250000,2000000,190420545,1429370108,5233288131914996,5233299996374243,5233299996552323,5233288222385539
60,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,84,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,106464,106464,65536,524288,58017689,434845415,5233288131999844,5233299996552323,5233299996600643,5233288222467783
61,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,85,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37028537,37028537,32768,161611776,23567291601,175614217678,5233288132136240,5233299996600643,5233300019179177,5233288245075029
62,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,87,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,93312,93312,65536,524288,51717364,388622400,5233288245149378,5233300019241417,5233300019288297,5233288245360022
63,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,88,257468,257468,2097152,256,61440,0,128,16,48,64,0x0,0x7f5ca5c08680,37047972,37047972,32768,161611776,23583203124,175734493394,5233288245368207,5233300019312746,5233300041894644,5233288268211385
64,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,89,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,317318,317318,250000,2000000,192313210,1443221909,5233288245551129,5233300041894644,5233300042070642,5233288268351136
65,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,91,257468,257468,4194304,256,0,0,4,4,16,64,0x0,0x7f5ca4f998c0,105385,105385,65536,524288,51748174,388846317,5233288245669741,5233300042083922,5233300042132402,5233288268460140
