Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
159,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,218,257775,257775,4194304,256,40960,0,116,20,32,64,0x0,0x7f91e3ba8680,37695065,37695065,248415,301560528,65536,3876681389,301308648,0,15508464680,5233294932244594,5233300820668284,5233300843632748,5233294978327270
160,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,220,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,318735,318735,16800,2549888,250000,201484461,2405924,0,812741680,5233294932369027,5233300843644268,5233300843818668,5233294978551359
161,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,222,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,101766,101766,15937,814136,65536,58737686,677127,0,236737756,5233294932488350,5233300843830828,5233300843882188,5233294978651386
162,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,223,257775,257775,4194304,256,40960,0,116,20,32,64,0x0,0x7f91e3ba8680,37662063,37662063,248812,301296512,65536,3868226667,301053495,0,15474645912,5233294932636467,5233300843882188,5233300866902171,5233295001645015
163,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,225,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,306960,306960,16874,2455688,250000,189781895,2316240,0,765935328,5233294932755710,5233300866913691,5233300867091131,5233295001863294
164,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,227,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,102442,102442,16976,819544,65536,58731992,674523,0,236717760,5233294932875674,5233300867103291,5233300867149211,5233295001957740
165,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,228,257775,257775,4194304,256,40960,0,116,20,32,64,0x0,0x7f91e3ba8680,37723659,37723659,249756,301789280,65536,3880577620,301573750,0,15524049276,5233294933017359,5233300867149431,5233300890135818,5233295025000662
166,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,230,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,321354,321354,16510,2570840,250000,204284731,2427323,0,823943844,5233294933138386,5233300890147336,5233300890323016,5233295025222707
167,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,232,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,102382,102382,16356,819064,65536,59035654,681411,0,237930620,5233294933254793,5233300890335016,5233300890381736,5233295025317655
168,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,233,257775,257775,4194304,256,40960,0,116,20,32,64,0x0,0x7f91e3ba8680,37759536,37759536,250009,302076296,65536,3889887466,301849975,0,15561288576,5233294933401327,5233300890381736,5233300913389563,5233295048377778
169,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,235,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,92540,92540,15321,740328,65536,53993919,627600,0,217752204,5233295048592400,5233300913590362,5233300913638362,5233295048839692
170,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,236,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,37942777,37942777,125224,303542224,131072,3908830497,303423178,0,15638795212,5233295055133515,5233300920065879,5233300943380104,5233295078482088
171,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,239,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,305224,305224,13373,2441800,250000,188298151,2330020,0,760003444,5233295078505922,5233300943474344,5233300943653864,5233295078896533
172,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,240,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,107595,107595,21461,860768,65536,59352676,717575,0,239202776,5233295078721796,5233300943653864,5233300943709064,5233295078994416
