Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
226,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,311,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,101550,101550,15959,812408,65536,58840851,676524,0,237149948,5233295464835503,5233301396786492,5233301396834172,5233295534912832
227,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,312,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38248407,38248407,133662,305987264,131072,3922244659,305795059,0,15692454284,5233295464978381,5233301396834172,5233301420165675,5233295558286221
228,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,314,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,313885,313885,17011,2511088,250000,190782219,2365971,0,769942304,5233295465100269,5233301420177034,5233301420350794,5233295558509128
229,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,316,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,101808,101808,16162,814472,65536,58391285,678721,0,235356100,5233295465218159,5233301420362954,5233301420411114,5233295558603304
230,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,317,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38223257,38223257,131696,305786064,131072,3920457209,305615116,0,15685303792,5233295465359834,5233301420411114,5233301443707737,5233295581961616
231,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,319,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58570669,58570669,749004,468565360,16384,3034520138,468471547,0,12138511152,5233295588343793,5233301450172209,5233301485581307,5233295623965022
232,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,322,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,307615,307615,13766,2460928,250000,181902313,2348912,0,734429592,5233295623983777,5233301485680985,5233301485860665,5233295624379958
233,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,323,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58544629,58544629,751554,468357040,16384,3032997054,468227069,0,12132418608,5233295624261296,5233301485860665,5233301521255363,5233295659892143
234,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,324,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,310737,310737,17266,2485904,250000,194726645,2339804,0,785709612,5233295624364189,5233301521255363,5233301521431363,5233295660040590
235,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,325,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58560864,58560864,751950,468486920,16384,3033724043,468351436,0,12135326688,5233295624512065,5233301521431360,5233301556836298,5233295695501118
236,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,326,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,315948,315948,16264,2527592,250000,194359033,2385592,0,784238024,5233295624622712,5233301556836298,5233301557015336,5233295695714287
237,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,327,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58548581,58548581,752475,468388656,16384,3033137279,468249113,0,12132979440,5233295624761051,5233301557015336,5233301592404274,5233295731165187
238,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,328,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,311896,311896,16066,2495176,250000,187031650,2354054,0,754943660,5233295624861008,5233301592404274,5233301592580434,5233295731379829
239,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,329,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58559662,58559662,753360,468477304,16384,3033639769,468338508,0,12134989344,5233295624995760,5233301592580366,5233301627976023,5233295766841719
240,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,330,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,318571,318571,16174,2548576,250000,202003812,2412234,0,814827004,5233295625089615,5233301627976023,5233301628152021,5233295767055590
241,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,331,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58548325,58548325,752255,468386608,16384,3033112336,468247579,0,12132879984,5233295625223546,5233301628152021,5233301663548798,5233295802509235
242,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,333,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58534877,58534877,750920,468279024,16384,3032596705,468169458,0,12130817236,5233295802624861,5233301663654891,5233301699048150,5233295838266067
243,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,334,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,315224,315224,16106,2521800,250000,199467805,2383963,0,804675844,5233295802790210,5233301699048150,5233301699227508,5233295838412120
244,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,336,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58555294,58555294,755174,468442360,16384,3033403839,468299144,0,12134045848,5233295802957643,5233301699240788,5233301734619487,5233295873877437
245,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,338,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,324053,324053,18079,2592432,250000,201399212,2445716,0,812411088,5233295803080012,5233301734630527,5233301734808287,5233295874105854
246,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,340,257775,257775,1048576,128,61440,0,8,144,48,64,0x0,0x7f91e3b30680,58559880,58559880,752977,468479048,16384,3033700531,468338509,0,12135232404,5233295803242426,5233301734820003,5233301770209577,5233295909563116
247,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,342,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58303934,58303934,744229,466431480,16384,3021330945,466336200,0,12085754788,5233295915759356,5233301776352611,5233301811594984,5233295951197664
248,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,345,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,308641,308641,13910,2469136,250000,194363767,2353576,0,784266772,5233295951222680,5233301811685544,5233301811868424,5233295951660940
249,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,346,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58311584,58311584,749312,466492680,16384,3021389986,466353224,0,12085990556,5233295951550654,5233301811868815,5233301847097274,5233295987019016
250,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,347,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,318564,318564,17491,2548520,250000,199284172,2403829,0,803935300,5233295951663805,5233301847097274,5233301847275032,5233295987167554
251,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,348,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58300704,58300704,749393,466405640,16384,3020869594,466262379,0,12083909536,5233295951908734,5233301847275032,5233301882502691,5233296022447184
252,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,349,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,317094,317094,16446,2536760,250000,188800277,2395088,0,762005644,5233295952026013,5233301882502691,5233301882683651,5233296022664681
253,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,350,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58304020,58304020,748734,466432168,16384,3021012767,466291489,0,12084481928,5233295952182495,5233301882683275,5233301917910929,5233296057947386
254,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,351,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,321646,321646,16488,2573176,250000,199785863,2433408,0,805954488,5233295952293393,5233301917910929,5233301918085487,5233296058164112
255,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,352,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58301576,58301576,749117,466412616,16384,3020889021,466276957,0,12083986932,5233295952447702,5233301918085487,5233301953309621,5233296093442699
256,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,353,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,316219,316219,15791,2529760,250000,194100164,2388232,0,783204432,5233295952546046,5233301953309621,5233301953488021,5233296093659235
257,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,354,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58310167,58310167,749443,466481344,16384,3021385582,466342430,0,12085973232,5233295952682621,5233301953488154,5233301988716930,5233296128947000
258,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,356,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58294052,58294052,746301,466352424,16384,3020714957,466240029,0,12083291028,5233296129070380,5233301988821728,5233302024045544,5233296164529045
259,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,357,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,317359,317359,16581,2538880,250000,195988719,2394925,0,790755960,5233296129224078,5233302024045544,5233302024222183,5233296164682872
260,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,359,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58296891,58296891,748799,466375136,16384,3020649436,466235520,0,12083029052,5233296129393435,5233302024235418,5233302059464993,5233296199973132
261,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,361,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,312575,312575,16273,2500608,250000,196204811,2361975,0,791627920,5233296129516324,5233302059476031,5233302059653151,5233296200191340
262,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,363,257775,257775,1048576,128,36864,0,8,144,48,64,0x0,0x7f91e3b20680,58300787,58300787,748697,466406304,16384,3020833897,466261683,0,12083766632,5233296129679620,5233302059665311,5233302094898246,5233296235479857
263,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,365,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,90194,90194,13388,721560,65536,52554073,613606,0,211997412,5233296235685772,5233302095084646,5233302095130566,5233296235880276
264,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,366,257775,257775,2097152,256,61440,0,128,16,48,64,0x0,0x7f91e4310680,37094129,37094129,479118,296753040,32768,3830989918,296552084,0,15324828792,5233296235891296,5233302095155526,5233302117745109,5233296258757457
