Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
158,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,217,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,851360,95438200,5233271394135442,5233300820620444,5233300820668284,5233271417324827
159,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,218,256528,256528,4194304,256,40960,0,116,20,32,64,0x0,0x7efc0b688680,262144,83681464,9372172952,5233271394275755,5233300820668284,5233300843632748,5233271440335458
160,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,220,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1610116,180470512,5233271394388906,5233300843644268,5233300843818668,5233271440547154
161,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,222,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,727992,81522576,5233271394502338,5233300843830828,5233300843882188,5233271440631983
162,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,223,256528,256528,4194304,256,40960,0,116,20,32,64,0x0,0x7efc0b688680,262144,83774932,9383059160,5233271394639044,5233300843882188,5233300866902171,5233271463664344
163,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,225,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1317064,147699640,5233271394754069,5233300866913691,5233300867091131,5233271463875870
164,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,227,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,928146,104047376,5233271394866239,5233300867103291,5233300867149211,5233271463960829
165,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,228,256528,256528,4194304,256,40960,0,116,20,32,64,0x0,0x7efc0b688680,262144,83728990,9377888856,5233271395004257,5233300867149431,5233300890135818,5233271486990756
166,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,230,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1490988,166981456,5233271395118671,5233300890147336,5233300890323016,5233271487201660
167,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,232,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,567060,63588544,5233271395233416,5233300890335016,5233300890381736,5233271487286399
168,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,233,256528,256528,4194304,256,40960,0,116,20,32,64,0x0,0x7efc0b688680,262144,83837852,9390186616,5233271395368068,5233300890381736,5233300913389563,5233271510333868
169,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,235,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,355554,39980464,5233271510541797,5233300913590362,5233300913638362,5233271510732193
170,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,236,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84638372,9479967656,5233271518279100,5233300920065879,5233300943380104,5233271541667377
171,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,239,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,975812,109488120,5233271541686553,5233300943474344,5233300943653864,5233271542047328
172,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,240,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,471048,52805456,5233271541870297,5233300943653864,5233300943709064,5233271542149940
173,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,241,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,85043200,9524804816,5233271542015749,5233300943709270,5233300967040459,5233271565544078
174,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,242,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1586274,177837440,5233271542119964,5233300967040459,5233300967221577,5233271565684851
175,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,243,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,742200,83215792,5233271542319837,5233300967221577,5233300967269097,5233271565773046
176,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,244,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84868882,9505004976,5233271542458136,5233300967269097,5233300990579486,5233271589080272
177,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,245,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1382426,155024368,5233271542551290,5233300990579486,5233300990761406,5233271589289603
178,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,246,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,781094,87561472,5233271542638113,5233300990761406,5233300990814526,5233271589372568
179,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,247,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84897640,9508412240,5233271542767405,5233300990814526,5233301014119954,5233271612682139
180,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,248,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1419432,159046904,5233271542855760,5233301014119954,5233301014296114,5233271612888675
181,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,249,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,910474,101908008,5233271542934828,5233301014296114,5233301014345714,5233271612968484
182,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,250,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84957428,9514872544,5233271543062887,5233301014345200,5233301037613343,5233271636304914
183,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,251,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1528114,171293688,5233271543168124,5233301037613343,5233301037790141,5233271636509066
184,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,252,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,922660,103383952,5233271543251700,5233301037790141,5233301037841021,5233271636589426
185,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,253,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84939004,9513300656,5233271543380962,5233301037841021,5233301061157004,5233271659918503
186,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,255,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,358400,40241080,5233271659989085,5233301061219884,5233301061267244,5233271660196763
187,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,256,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84780642,9495248936,5233271660206782,5233301061288844,5233301084605466,5233271683703552
188,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,257,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1267002,142215080,5233271660382331,5233301084605466,5233301084784506,5233271683846810
189,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,259,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,828056,92879192,5233271660499750,5233301084798106,5233301084845946,5233271683937821
190,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,260,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84943818,9513641864,5233271660641155,5233301084845899,5233301108209241,5233271707268710
191,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,262,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1640966,183969920,5233271660757132,5233301108220919,5233301108398519,5233271707481789
192,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,264,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,853730,95563888,5233271660869903,5233301108410679,5233301108457559,5233271707567780
193,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,265,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84747050,9492178488,5233271661004845,5233301108457559,5233301131776581,5233271730851422
194,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,267,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1499634,168023400,5233271661120361,5233301131788261,5233301131963301,5233271731063549
