Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
142,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,199,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,823975089,92284735688,5233277138873600,5233300681446956,5233300704450940,5233277162081059
143,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,200,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16273008,1822638540,5233277138988225,5233300704450940,5233300704627740,5233277162218657
144,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,201,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4739308,530878004,5233277139209348,5233300704627740,5233300704675900,5233277162305629
145,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,202,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,820499199,91895694420,5233277139345423,5233300704675900,5233300727664043,5233277185282387
146,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,203,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16979607,1901774300,5233277139435872,5233300727664043,5233300727841163,5233277185489955
147,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,204,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4336418,485728764,5233277139514689,5233300727841163,5233300727890923,5233277185569654
148,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,205,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,819931654,91832285988,5233277139641837,5233300727890781,5233300750889803,5233277208547794
149,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,206,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16936190,1896902080,5233277139730313,5233300750889803,5233300751069161,5233277208753569
150,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,207,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4359022,488325148,5233277139808509,5233300751069161,5233300751117961,5233277208832577
151,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,208,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,822185191,92083955040,5233277139935356,5233300751117961,5233300774091543,5233277231840793
152,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,209,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16689821,1869413108,5233277140019554,5233300774091543,5233300774269143,5233277232049033
153,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,210,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4632760,518916092,5233277140095977,5233300774269143,5233300774316983,5233277232130936
154,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,211,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,823684452,92251902220,5233277140222884,5233300774316983,5233300797320804,5233277255144382
155,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,213,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4293686,480931104,5233277255212620,5233300797384484,5233300797432484,5233277255404739
156,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,214,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,825208808,92422685600,5233277255414147,5233300797458702,5233300820428926,5233277278666460
157,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,215,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16576738,1856639604,5233277255584706,5233300820428926,5233300820607004,5233277278798447
