Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
69,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,97,256842,256842,2097152,256,61440,0,128,16,48,64,0x0,0x7f35ee408680,42467328,814834491,91261452692,5233276473537764,5233300064957499,5233300087537476,5233276541328334
70,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,99,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16596674,1858913332,5233276473649302,5233300087548836,5233300087724356,5233276541543487
71,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,101,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4246533,475696988,5233276473758206,5233300087736516,5233300087782596,5233276541627564
72,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,102,256842,256842,2097152,256,61440,0,128,16,48,64,0x0,0x7f35ee408680,42467328,815740976,91361923728,5233276473892577,5233300087782583,5233300110373920,5233276564260159
73,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,104,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16663758,1866374936,5233276474004978,5233300110385278,5233300110563038,5233276564468749
74,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,106,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4464253,500047784,5233276474118190,5233300110575038,5233300110623518,5233276564552756
75,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,107,256842,256842,2097152,256,61440,0,128,16,48,64,0x0,0x7f35ee408680,42467328,814815882,91258324296,5233276474254054,5233300110623518,5233300133213415,5233276587170622
76,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,109,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4304119,482061148,5233276587377599,5233300133409735,5233300133456775,5233276587564870
77,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,110,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,814791757,91256037548,5233276593207073,5233300139158529,5233300161881546,5233276616115523
78,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,113,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,17048077,1909438612,5233276616124009,5233300161967786,5233300162144585,5233276616491767
79,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,114,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4580444,513058216,5233276616314866,5233300162144585,5233300162193065,5233276616597014
80,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,115,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,816342362,91430642408,5233276616472731,5233300162193185,5233300184906445,5233276639397521
81,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,116,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16847972,1887121476,5233276616571916,5233300184906445,5233300185084843,5233276639531081
82,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,117,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4496596,503697460,5233276616759578,5233300185084843,5233300185136043,5233276639609949
83,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,118,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,816403236,91435996344,5233276616893658,5233300185136043,5233300207872342,5233276662377204
84,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,119,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16450768,1842583400,5233276616984027,5233300207872342,5233300208050102,5233276662584963
85,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,120,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4446239,498128968,5233276617070159,5233300208050102,5233300208098262,5233276662664882
86,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,121,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,814849074,91262176568,5233276617202546,5233300208098262,5233300230832001,5233276685409606
87,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,122,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16781523,1879555580,5233276617288076,5233300230832001,5233300231008161,5233276685615631
88,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,123,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4660723,522058192,5233276617366162,5233300231008161,5233300231056961,5233276685694238
89,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,124,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,815329624,91316930332,5233276617490475,5233300231057079,5233300253786821,5233276708449351
90,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,125,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16624598,1861982316,5233276617578119,5233300253786821,5233300253964579,5233276708653203
