Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float*, float*, int) ",2,0,0,68746,68746,1000448,1024,0,0,4,4,16,64,0x0,0x7f5bc289d440,3331813499569914,3331813499594437,3331813499606277,3331813499622582
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,68746,68746,1000448,1024,0,0,12,4,32,64,0x0,0x7f5bc289d480,3331813499598197,3331813499606277,3331813499615717,3331813499729693
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,68746,68746,250880,1024,0,0,12,4,32,64,0x0,0x7f5bc289d4c0,3331813499605060,3331813499615717,3331813499621477,3331813499708202
