Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float const*, float*, int) ",2,0,0,58428,58428,1000448,1024,0,0,4,4,16,64,0x0,0x7f8741c05440,21290,21290,15632,46896,11179,1247692,3331217635431958,3331218563816640,3331218563829760,3331217644725340
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,58428,58428,1000448,1024,0,0,12,4,32,64,0x0,0x7f8741c05480,25940,25940,15632,203153,71214,8098016,3331217644697037,3331218563829760,3331218563839040,3331217644954999
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,58428,58428,250880,1024,0,0,12,4,32,64,0x0,0x7f8741c054c0,23255,23255,3920,23481,14234,1566192,3331217644778599,3331218563839040,3331218563844640,3331217645145936
