Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float const*, float*, int) ",2,0,0,58061,58061,1000448,1024,0,0,4,4,16,64,0x0,0x7fe67b719440,31264,188050,21044812,3331216706467464,3331218563816640,3331218563829760,3331216715624310
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,58061,58061,1000448,1024,0,0,12,4,32,64,0x0,0x7fe67b719480,31250,204559,22936770,3331216715597670,3331218563829760,3331218563839040,3331216715871081
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,58061,58061,250880,1024,0,0,12,4,32,64,0x0,0x7fe67b7194c0,7814,93981,10529332,3331216715682449,3331218563839040,3331218563844640,3331216716060625
