Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float const*, float*, int) ",2,0,0,63599,63599,1000192,256,0,0,4,4,16,64,0x0,0x7f3398c1d440,20996,20996,7615,167976,15628,6968090,98628,0,28396712,3331534113551442,3331534581526610,3331534581540530,3331534122651172
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,63599,63599,1000192,256,0,0,12,4,32,64,0x0,0x7f3398c1d480,25014,25014,10484,200120,15628,8786822,113189,0,35621504,3331534122624672,3331534581540530,3331534581549490,3331534122890128
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,63599,63599,250112,256,0,0,12,4,32,64,0x0,0x7f3398c1d4c0,22766,22766,13097,182136,3908,6018156,81711,0,24179812,3331534122710844,3331534581549490,3331534581554930,3331534123083350
