Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"copy_kernel(float const*, float*, int) ",2,0,0,57879,57879,1000448,1024,0,0,4,4,16,64,0x0,0x7fcefc6ad440,31264,138440,15464096,3331216226582310,3331218563816640,3331218563829760,3331216236156086
1,"copy_kernel_pipeline(float const*, float*, int) ",2,0,1,57879,57879,1000448,1024,0,0,12,4,32,64,0x0,0x7fcefc6ad480,78146,181550,20360400,3331216236116892,3331218563829760,3331218563839040,3331216236384212
2,"copy_kernelf4(HIP_vector_type<float, 4u> const*, HIP_vector_type<float, 4u>*, int) ",2,0,2,57879,57879,250880,1024,0,0,12,4,32,64,0x0,0x7fcefc6ad4c0,15654,216886,24325728,3331216236197653,3331218563839040,3331218563844640,3331216236567404
